experiment,threshold,top_k,spread_lt_30_iter,spread_lt_final,spread_icm_30_iter,spread_icm_final,spread_npt_30_iter,spread_npt_final
trustworthy_social_intersect_neighbor,0.5_n20,5,0.00324254215304799,44.67380025940337,0.0,70.46044098573282,0.0074578469520103765,43.63845654993515
trustworthy_social_intersect_neighbor,0.5_n20,10,0.0027793218454697055,28.079210672595885,0.0,62.27070594774875,0.008893829905503057,28.792245692051143
trustworthy_social_intersect_neighbor,0.5_n20,15,0.0036964980544747076,32.95768482490273,0.0,64.72762645914398,0.011673151750972761,32.99484435797665
