Top-K,Segment,MRR,MC
5,Trustworthy,0.12706185567010309,0.3932989690721649
5,Untrustworthy,0.038906249999999996,0.39499999999999996
10,Trustworthy,0.14509695630829653,0.20335051546391755
10,Untrustworthy,0.04561073908730159,0.20249999999999996
15,Trustworthy,0.14591310751104566,0.2711340206185567
15,Untrustworthy,0.0509078118062493,0.27
