Top-K,Segment,MRR,MC
5,Trustworthy,0.045446735395189,0.4
5,Untrustworthy,0.025651041666666662,0.4000000000000001
10,Trustworthy,0.05355097365406644,0.20695876288659792
10,Untrustworthy,0.04006386408730159,0.209375
15,Trustworthy,0.05666358269451052,0.268213058419244
15,Untrustworthy,0.043761078331390826,0.26875
