Top-K,Segment,MRR,MC
5,Trustworthy,0.017826460481099655,0.5999999999999999
5,Untrustworthy,0.03309895833333333,0.5999999999999999
10,Trustworthy,0.02696878579610538,0.5018041237113402
10,Untrustworthy,0.03913814484126984,0.5034375
15,Trustworthy,0.03555324257643845,0.4036082474226803
15,Untrustworthy,0.04301312402874903,0.406875
