Top-K,Segment,MRR,MC
5,Trustworthy,0.05670103092783505,0.39999999999999997
5,Untrustworthy,0.024296875,0.39999999999999997
10,Trustworthy,0.07195630829651448,0.3036082474226804
10,Untrustworthy,0.03584139384920635,0.30687499999999995
15,Trustworthy,0.08023647314884427,0.33694158075601377
15,Untrustworthy,0.03842295291514041,0.34020833333333333
