Top-K,Segment,MRR,MC
5,Trustworthy,0.011551219512195123,0.2
5,Untrustworthy,0.0007117437722419929,0.20000000000000004
10,Trustworthy,0.014934804490902053,0.17688430148823814
10,Untrustworthy,0.0007117437722419929,0.18416666666666667
15,Trustworthy,0.017143655802192386,0.14803968634981599
15,Untrustworthy,0.0014573801050669377,0.15527777777777776
