Top-K,Segment,MRR,MC
5,Trustworthy,0.0066959349593495926,0.32787356321839084
5,Untrustworthy,0.008896797153024912,0.3246753246753248
10,Trustworthy,0.008957026713124275,0.2635707317073171
10,Untrustworthy,0.009913573970513472,0.25338078291814947
15,Trustworthy,0.011295696173744953,0.25979837398373984
15,Untrustworthy,0.012579828238191227,0.2517200474495848
