Top-K,Segment,MRR,MC
5,Trustworthy,0.011430894308943089,0.2
5,Untrustworthy,0.009015421115065243,0.20000000000000004
10,Trustworthy,0.014705226480836234,0.16694766420793816
10,Untrustworthy,0.010477037790205049,0.1618421052631579
15,Trustworthy,0.016724657456364773,0.12756609952871636
15,Untrustworthy,0.01195598588837023,0.12045779685264663
