Top-K,Segment,MRR,MC
5,Trustworthy,0.011414634146341463,0.33368532206969376
5,Untrustworthy,0.012752075919335705,0.3265822784810126
10,Trustworthy,0.01537677119628339,0.18802228412256267
10,Untrustworthy,0.01397220810032198,0.1885714285714286
15,Trustworthy,0.017566815298522616,0.14230094143928515
15,Untrustworthy,0.015053511138920391,0.1421052631578947
